bbdd,id,cv,algorithm,seed,nClients,epoch,iteration,instances,trAcc,trPr,trRc,trF1,trTime,teAcc,tePr,teRc,teF1,teTime,time
iris,8,6,CCBN,0,10,Client/Fusion,1,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,6,CCBN,0,10,Client/Fusion,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,6,CCBN,0,10,Client/Build,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,1,6,CCBN,0,10,Client/Build,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,2,6,CCBN,0,10,Client/Build,2,13,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,0.0,0.0
iris,3,6,CCBN,0,10,Client/Build,2,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,4,6,CCBN,0,10,Client/Build,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,5,6,CCBN,0,10,Client/Build,2,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,6,CCBN,0,10,Client/Build,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,6,CCBN,0,10,Client/Build,2,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,8,6,CCBN,0,10,Client/Build,2,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666668,0.0,0.0
iris,9,6,CCBN,0,10,Client/Build,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,6,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,6,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,6,CCBN,0,10,Client/Fusion,2,13,0.923076923076923,0.9444444444444445,0.9166666666666666,0.9220779220779222,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,3,6,CCBN,0,10,Client/Fusion,2,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,6,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,6,CCBN,0,10,Client/Fusion,2,13,0.8461538461538461,0.9047619047619048,0.8333333333333334,0.8333333333333334,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,6,6,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,6,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,8,6,CCBN,0,10,Client/Fusion,2,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,6,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,6,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,6,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,6,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,3,6,CCBN,0,10,Client/Build,3,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,6,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,5,6,CCBN,0,10,Client/Build,3,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,6,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,6,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,8,6,CCBN,0,10,Client/Build,3,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.001,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666668,0.0,0.0
iris,9,6,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,6,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,6,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,6,CCBN,0,10,Client/Fusion,3,13,0.923076923076923,0.9444444444444445,0.9166666666666666,0.9220779220779222,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,3,6,CCBN,0,10,Client/Fusion,3,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,6,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,6,CCBN,0,10,Client/Fusion,3,13,0.8461538461538461,0.9047619047619048,0.8333333333333334,0.8333333333333334,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,6,6,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,6,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,8,6,CCBN,0,10,Client/Fusion,3,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,6,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,6,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,1,6,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,6,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,3,6,CCBN,0,10,Client/Build,4,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,4,6,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,6,CCBN,0,10,Client/Build,4,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,6,6,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,6,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,8,6,CCBN,0,10,Client/Build,4,13,0.923076923076923,0.9444444444444445,0.9166666666666666,0.9220779220779222,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,9,6,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,6,CCBN,0,10,Client/Fusion,4,13,0.923076923076923,0.9444444444444445,0.9166666666666666,0.9220779220779222,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,1,6,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,6,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,3,6,CCBN,0,10,Client/Fusion,4,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,6,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,6,CCBN,0,10,Client/Fusion,4,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,6,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,6,CCBN,0,10,Client/Fusion,4,13,0.923076923076923,0.9444444444444445,0.9166666666666666,0.9220779220779222,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,8,6,CCBN,0,10,Client/Fusion,4,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666668,0.0,0.0
iris,9,6,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,6,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,1,6,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,6,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,3,6,CCBN,0,10,Client/Build,5,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,6,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,6,CCBN,0,10,Client/Build,5,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,6,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,6,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,8,6,CCBN,0,10,Client/Build,5,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666668,0.0,0.0
iris,9,6,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,6,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,6,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,6,CCBN,0,10,Client/Fusion,5,13,0.923076923076923,0.9444444444444445,0.9166666666666666,0.9220779220779222,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,3,6,CCBN,0,10,Client/Fusion,5,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,6,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,6,CCBN,0,10,Client/Fusion,5,13,0.8461538461538461,0.9047619047619048,0.8333333333333334,0.8333333333333334,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,6,6,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,6,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,8,6,CCBN,0,10,Client/Fusion,5,13,0.923076923076923,0.9333333333333332,0.9333333333333332,0.9259259259259259,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,6,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,0,CCBN,0,10,Client/Build,1,12,1.0,1.0,1.0,1.0,0.003,1.0,1.0,1.0,1.0,0.0,0.026
iris,1,0,CCBN,0,10,Client/Build,1,12,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,0.0,0.004
iris,2,0,CCBN,0,10,Client/Build,1,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.001,0.005
iris,3,0,CCBN,0,10,Client/Build,1,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.009
iris,4,0,CCBN,0,10,Client/Build,1,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.004
iris,5,0,CCBN,0,10,Client/Build,1,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.001,0.002
iris,6,0,CCBN,0,10,Client/Build,1,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.003
iris,7,0,CCBN,0,10,Client/Build,1,12,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.001,0.003
iris,8,0,CCBN,0,10,Client/Build,1,12,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.002
iris,9,0,CCBN,0,10,Client/Build,1,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.003
iris,0,0,CCBN,0,10,Client/Fusion,1,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,1,0,CCBN,0,10,Client/Fusion,1,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,0,CCBN,0,10,Client/Fusion,1,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,3,0,CCBN,0,10,Client/Fusion,1,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.001,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,0,CCBN,0,10,Client/Fusion,1,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,0,CCBN,0,10,Client/Fusion,1,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,0,CCBN,0,10,Client/Fusion,1,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,0,CCBN,0,10,Client/Fusion,1,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.001,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,8,0,CCBN,0,10,Client/Fusion,1,12,0.8333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.001,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666668,0.0,0.0
iris,9,0,CCBN,0,10,Client/Fusion,1,12,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,0,CCBN,0,10,Client/Build,2,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,1,0,CCBN,0,10,Client/Build,2,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,0,CCBN,0,10,Client/Build,2,12,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,0.0,0.001
iris,3,0,CCBN,0,10,Client/Build,2,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,0,CCBN,0,10,Client/Build,2,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,5,0,CCBN,0,10,Client/Build,2,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,6,0,CCBN,0,10,Client/Build,2,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,7,0,CCBN,0,10,Client/Build,2,12,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,8,0,CCBN,0,10,Client/Build,2,12,1.0,1.0,1.0,1.0,0.001,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,9,0,CCBN,0,10,Client/Build,2,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,0,CCBN,0,10,Client/Fusion,2,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.001,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,1,0,CCBN,0,10,Client/Fusion,2,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,0,CCBN,0,10,Client/Fusion,2,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,3,0,CCBN,0,10,Client/Fusion,2,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,0,CCBN,0,10,Client/Fusion,2,12,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,0,CCBN,0,10,Client/Fusion,2,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,0,CCBN,0,10,Client/Fusion,2,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,0,CCBN,0,10,Client/Fusion,2,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,8,0,CCBN,0,10,Client/Fusion,2,12,0.8333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666668,0.0,0.0
iris,9,0,CCBN,0,10,Client/Fusion,2,12,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,0,CCBN,0,10,Client/Build,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,0,CCBN,0,10,Client/Build,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,0,CCBN,0,10,Client/Build,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.001,0.0
iris,3,0,CCBN,0,10,Client/Build,3,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,0,CCBN,0,10,Client/Build,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,5,0,CCBN,0,10,Client/Build,3,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,6,0,CCBN,0,10,Client/Build,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,0,CCBN,0,10,Client/Build,3,12,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,8,0,CCBN,0,10,Client/Build,3,12,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,9,0,CCBN,0,10,Client/Build,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,0,CCBN,0,10,Client/Fusion,3,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.001,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,1,0,CCBN,0,10,Client/Fusion,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,0,CCBN,0,10,Client/Fusion,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,3,0,CCBN,0,10,Client/Fusion,3,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,0,CCBN,0,10,Client/Fusion,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,0,CCBN,0,10,Client/Fusion,3,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,0,CCBN,0,10,Client/Fusion,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,0,CCBN,0,10,Client/Fusion,3,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,8,0,CCBN,0,10,Client/Fusion,3,12,0.8333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.001,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666668,0.0,0.0
iris,9,0,CCBN,0,10,Client/Fusion,3,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,0,CCBN,0,10,Client/Build,4,12,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,0,CCBN,0,10,Client/Build,4,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,0,CCBN,0,10,Client/Build,4,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,3,0,CCBN,0,10,Client/Build,4,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,0,CCBN,0,10,Client/Build,4,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,5,0,CCBN,0,10,Client/Build,4,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,6,0,CCBN,0,10,Client/Build,4,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,7,0,CCBN,0,10,Client/Build,4,12,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,8,0,CCBN,0,10,Client/Build,4,12,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,9,0,CCBN,0,10,Client/Build,4,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,0,CCBN,0,10,Client/Fusion,4,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,1,0,CCBN,0,10,Client/Fusion,4,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,0,CCBN,0,10,Client/Fusion,4,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,3,0,CCBN,0,10,Client/Fusion,4,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,0,CCBN,0,10,Client/Fusion,4,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,0,CCBN,0,10,Client/Fusion,4,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,0,CCBN,0,10,Client/Fusion,4,12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,0,CCBN,0,10,Client/Fusion,4,12,0.9166666666666667,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.001,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
